timestamp,district,corridor,hour,weekday,is_weekend,is_holiday,weather,rain_intensity,event_intensity,incident_count,roadwork_flag,flow,capacity,demand_capacity_ratio,avg_speed,occupancy,bus_delay_min,metro_inflow,congestion_index,congestion_level,congestion_label
2026-02-10 18:00:00,金牛,一环路北段,18,1,0,0,light_rain,0.35,0.0,1,0,5396,5600,0.9636,15.847,0.8425,12.134,9342.3,100.0,2,severe
2026-02-10 18:00:00,金牛,凤凰山环线,18,1,0,0,cloudy,0.12,0.0,0,0,4370,5000,0.8742,21.933,0.7487,7.006,8447.0,100.0,2,severe
2026-02-10 18:00:00,锦江,成龙大道,18,1,0,0,cloudy,0.12,0.0,0,0,6062,6400,0.9472,26.171,0.7976,8.265,7645.3,100.0,2,severe
2026-02-10 18:00:00,双流,双流机场高速,18,1,0,0,light_rain,0.35,0.0,0,0,7444,7000,1.0635,18.315,0.8457,10.359,6936.3,100.0,2,severe
2026-02-10 18:00:00,青羊,蜀都大道,18,1,0,0,cloudy,0.12,0.0,0,0,4489,4700,0.9553,20.255,0.806,8.362,10038.6,100.0,2,severe
2026-02-10 18:00:00,锦江,东大街,18,1,0,0,cloudy,0.12,0.0,1,0,3818,4300,0.888,17.702,0.8273,11.038,10226.4,100.0,2,severe
2026-02-10 18:00:00,成华,中环路东段,18,1,0,0,sunny,0.0,0.0,1,0,5062,5400,0.9375,21.699,0.8073,9.681,8781.1,100.0,2,severe
2026-02-10 18:00:00,天府新区,天府大道南段,18,1,0,0,sunny,0.0,0.0,0,0,6124,6500,0.9422,28.756,0.7899,7.367,9440.6,100.0,2,severe
2026-02-10 18:00:00,高新,天府大道北段,18,1,0,0,sunny,0.0,0.0,0,0,6037,6200,0.9738,22.957,0.7699,9.538,9713.1,100.0,2,severe
2026-02-10 18:00:00,武侯,人民南路,18,1,0,0,light_rain,0.35,0.0,1,0,5217,5100,1.023,13.767,0.859,13.889,10214.1,100.0,2,severe
2026-02-10 18:00:00,武侯,一环路南段,18,1,0,0,cloudy,0.12,0.0,1,0,5552,5400,1.0282,16.685,0.8352,11.152,9914.8,100.0,2,severe
2026-02-10 18:00:00,锦江,科华路,18,1,0,0,light_rain,0.35,0.0,0,0,4751,4600,1.033,15.167,0.8598,11.665,9111.8,100.0,2,severe
2026-02-10 19:00:00,青羊,蜀都大道,19,1,0,0,heavy_rain,0.7,0.0,0,0,4849,4700,1.0319,17.001,0.8352,11.626,10418.5,100.0,2,severe
2026-02-10 19:00:00,金牛,凤凰山环线,19,1,0,0,light_rain,0.35,0.0,0,0,5551,5000,1.1103,10.527,0.8826,13.118,8684.5,100.0,2,severe
2026-02-10 19:00:00,锦江,成龙大道,19,1,0,0,light_rain,0.35,0.0,1,0,6636,6400,1.037,20.095,0.8743,15.303,7554.2,100.0,2,severe
2026-02-10 19:00:00,双流,双流机场高速,19,1,0,0,light_rain,0.35,0.0,2,0,7845,7000,1.1207,11.384,0.9523,17.619,7412.4,100.0,2,severe
2026-02-10 19:00:00,成华,中环路东段,19,1,0,0,heavy_rain,0.7,0.0,1,0,6080,5400,1.1261,8.118,0.937,14.952,8167.9,100.0,2,severe
2026-02-10 19:00:00,锦江,东大街,19,1,0,0,cloudy,0.12,0.0,0,0,3762,4300,0.8749,21.86,0.7902,8.721,10545.2,100.0,2,severe
2026-02-10 19:00:00,武侯,人民南路,19,1,0,0,cloudy,0.12,0.0,0,0,4901,5100,0.961,21.298,0.8262,9.489,10594.1,100.0,2,severe
2026-02-10 19:00:00,天府新区,天府大道南段,19,1,0,0,heavy_rain,0.7,0.0,1,0,6773,6500,1.0421,21.614,0.916,12.372,8950.1,100.0,2,severe
2026-02-10 19:00:00,高新,天府大道北段,19,1,0,0,sunny,0.0,0.0,0,0,5441,6200,0.8777,28.431,0.6902,6.76,10176.7,99.029,2,severe
2026-02-10 19:00:00,武侯,一环路南段,19,1,0,0,sunny,0.0,0.0,0,0,5201,5400,0.9633,22.25,0.7635,8.606,9871.3,100.0,2,severe
2026-02-10 19:00:00,金牛,一环路北段,19,1,0,0,heavy_rain,0.7,0.0,1,0,6057,5600,1.0816,8.319,0.9155,13.59,9712.4,100.0,2,severe
2026-02-10 19:00:00,锦江,科华路,19,1,0,0,sunny,0.0,0.0,0,0,4141,4600,0.9002,22.3,0.7761,7.246,9140.4,100.0,2,severe
2026-02-10 20:00:00,青羊,蜀都大道,20,1,0,0,sunny,0.0,0.0,0,1,2759,4700,0.5872,29.644,0.5758,6.589,7189.0,97.023,2,severe
2026-02-10 20:00:00,金牛,凤凰山环线,20,1,0,0,cloudy,0.12,0.0,0,0,3549,5000,0.7099,31.746,0.6536,2.326,6329.2,88.805,2,severe
2026-02-10 20:00:00,锦江,成龙大道,20,1,0,0,sunny,0.0,0.0,2,0,4165,6400,0.6508,36.962,0.6717,6.84,5726.2,100.0,2,severe
2026-02-10 20:00:00,双流,双流机场高速,20,1,0,0,sunny,0.0,0.0,0,0,4827,7000,0.6896,42.968,0.6619,4.253,5441.5,75.834,2,severe
2026-02-10 20:00:00,锦江,东大街,20,1,0,0,sunny,0.0,0.0,0,0,2464,4300,0.5731,30.913,0.5536,2.943,7845.1,86.314,2,severe
2026-02-10 20:00:00,成华,中环路东段,20,1,0,0,cloudy,0.12,0.0,0,0,3406,5400,0.6309,36.596,0.5789,2.979,6434.7,79.737,2,severe
2026-02-10 20:00:00,天府新区,天府大道南段,20,1,0,0,sunny,0.0,0.0,0,0,3584,6500,0.5515,48.137,0.5169,1.304,6623.2,59.965,1,busy
2026-02-10 20:00:00,高新,天府大道北段,20,1,0,0,sunny,0.0,0.0,1,0,3775,6200,0.6089,39.927,0.5751,4.895,7062.9,83.702,2,severe
2026-02-10 20:00:00,锦江,科华路,20,1,0,0,cloudy,0.12,0.0,0,0,2374,4600,0.5161,34.544,0.5033,6.535,7265.6,82.714,2,severe
2026-02-10 20:00:00,武侯,人民南路,20,1,0,0,cloudy,0.12,0.0,0,0,3579,5100,0.7018,32.443,0.6475,3.022,7538.0,88.268,2,severe
2026-02-10 20:00:00,武侯,一环路南段,20,1,0,0,light_rain,0.35,0.0,1,0,3926,5400,0.7272,30.559,0.6917,9.152,7032.2,100.0,2,severe
2026-02-10 20:00:00,金牛,一环路北段,20,1,0,0,sunny,0.0,0.0,0,0,3363,5600,0.6006,40.437,0.5511,1.302,6517.4,71.792,1,busy
2026-02-10 21:00:00,锦江,成龙大道,21,1,0,0,sunny,0.0,0.0,0,0,4312,6400,0.6738,37.001,0.5935,4.023,5900.0,80.797,2,severe
2026-02-10 21:00:00,双流,双流机场高速,21,1,0,0,light_rain,0.35,0.55,0,0,5482,7000,0.7832,37.703,0.6395,6.236,6389.9,86.744,2,severe
2026-02-10 21:00:00,成华,中环路东段,21,1,0,0,cloudy,0.12,0.0,0,0,3836,5400,0.7105,33.62,0.6704,6.194,6337.0,90.654,2,severe
2026-02-10 21:00:00,青羊,蜀都大道,21,1,0,0,light_rain,0.35,0.0,0,0,3235,4700,0.6884,28.236,0.658,3.778,7686.7,95.108,2,severe
2026-02-10 21:00:00,锦江,东大街,21,1,0,0,sunny,0.0,0.0,0,0,2940,4300,0.6838,27.972,0.6473,3.839,7938.3,95.072,2,severe
2026-02-10 21:00:00,金牛,凤凰山环线,21,1,0,0,light_rain,0.35,0.0,2,0,2937,5000,0.5874,31.85,0.6701,8.357,6691.4,100.0,2,severe
2026-02-10 21:00:00,天府新区,天府大道南段,21,1,0,0,light_rain,0.35,0.55,1,0,4489,6500,0.6908,35.943,0.6952,8.005,7917.4,99.939,2,severe
2026-02-10 21:00:00,高新,天府大道北段,21,1,0,0,sunny,0.0,0.0,0,0,4367,6200,0.7044,38.227,0.5993,5.809,7086.1,81.083,2,severe
